solver,size,max_objective,steps,solve_time,variables
Chuffed,5,82,15,58.4023,61
Chuffed,10,225,17,58.0607,245
Chuffed,15,394,22,56.9169,535
Chuffed,19,596,24,56.8783,849
Chuffed,23,813,11,0,0
CPOptimizer,5,78,19,58.1488,61
CPOptimizer,10,222,24,57.6964,245
CPOptimizer,15,392,19,56.8768,535
CPOptimizer,19,574,20,56.9341,849
CPOptimizer,23,809,4,0,0
Gecode,5,77,17,58.2278,61
Gecode,10,225,20,57.8795,245
Gecode,15,392,20,56.7171,535
Gecode,19,599,15,56.8204,849
Gecode,23,820,5,0,0
OR-Tools,5,76,15,58.3039,61
OR-Tools,10,227,17,57.9489,245
OR-Tools,15,400,27,56.7719,535
OR-Tools,19,563,14,56.8399,849
OR-Tools,23,828,14,0,0
